"P.E.O.P.L.E. Population Estimates and Projections","","","","",""
"Author: BC Stats","","","","",""
"Release date: December 19, 2025","","","","",""
"Geographic level: Municipality","","","","",""
"Years: 2024","","","","",""
"-------------------------------------------------","","","","",""
"Region","Municipality","Year","Type","Gender","Total"
"1003","Elkford","2024","Estimate","T","  2,927"
"1006","Sparwood","2024","Estimate","T","  4,429"
"1012","Fernie","2024","Estimate","T","  6,963"
"1022","Cranbrook","2024","Estimate","T"," 22,720"
"1028","Kimberley","2024","Estimate","T","  9,011"
"1039","Invermere","2024","Estimate","T","  4,319"
"1040","Radium Hot Springs","2024","Estimate","T","  1,490"
"1043","Canal Flats","2024","Estimate","T","    888"
"1999","Unincorporated Areas - East Kootenay","2024","Estimate","T"," 19,787"
"3004","Creston","2024","Estimate","T","  6,188"
"3011","Salmo","2024","Estimate","T","  1,234"
"3015","Nelson","2024","Estimate","T"," 12,343"
"3019","Slocan","2024","Estimate","T","    409"
"3023","Kaslo","2024","Estimate","T","  1,138"
"3027","Silverton","2024","Estimate","T","    209"
"3032","New Denver","2024","Estimate","T","    529"
"3045","Castlegar","2024","Estimate","T","  9,234"
"3050","Nakusp","2024","Estimate","T","  1,754"
"3999","Unincorporated Areas - Central Kootenay","2024","Estimate","T"," 35,685"
"5005","Fruitvale","2024","Estimate","T","  2,059"
"5009","Montrose","2024","Estimate","T","  1,067"
"5014","Trail","2024","Estimate","T","  8,402"
"5018","Warfield","2024","Estimate","T","  1,768"
"5023","Rossland","2024","Estimate","T","  4,358"
"5032","Grand Forks","2024","Estimate","T","  4,289"
"5037","Midway","2024","Estimate","T","    672"
"5042","Greenwood","2024","Estimate","T","    736"
"5999","Unincorporated Areas - Kootenay Boundary","2024","Estimate","T"," 12,009"
"7005","Osoyoos","2024","Estimate","T","  5,736"
"7009","Keremeos","2024","Estimate","T","  1,784"
"7014","Oliver","2024","Estimate","T","  5,273"
"7024","Princeton","2024","Estimate","T","  3,239"
"7035","Summerland","2024","Estimate","T"," 12,492"
"7041","Penticton","2024","Estimate","T"," 38,655"
"7999","Unincorporated Areas - Okanagan-Similkameen","2024","Estimate","T"," 26,733"
"9009","Hope","2024","Estimate","T","  6,832"
"9020","Chilliwack","2024","Estimate","T","102,305"
"9027","Harrison Hot Springs","2024","Estimate","T","  2,057"
"9032","Kent","2024","Estimate","T","  7,119"
"9052","Abbotsford","2024","Estimate","T","175,080"
"9056","Mission","2024","Estimate","T"," 46,240"
"9999","Unincorporated Areas - Fraser Valley","2024","Estimate","T"," 23,002"
"15001","Langley, District Municipality","2024","Estimate","T","162,279"
"15002","Langley, City of","2024","Estimate","T"," 35,315"
"15004","Surrey","2024","Estimate","T","700,459"
"15007","White Rock","2024","Estimate","T"," 25,124"
"15011","Delta","2024","Estimate","T","125,162"
"15015","Richmond","2024","Estimate","T","242,965"
"15022","Vancouver","2024","Estimate","T","756,008"
"15025","Burnaby","2024","Estimate","T","298,978"
"15029","New Westminster","2024","Estimate","T"," 92,435"
"15034","Coquitlam","2024","Estimate","T","174,247"
"15036","Belcarra","2024","Estimate","T","    710"
"15038","Anmore","2024","Estimate","T","  2,568"
"15039","Port Coquitlam","2024","Estimate","T"," 69,305"
"15043","Port Moody","2024","Estimate","T"," 38,943"
"15046","North Vancouver, District Municipality","2024","Estimate","T"," 99,068"
"15051","North Vancouver, City of","2024","Estimate","T"," 67,310"
"15055","West Vancouver","2024","Estimate","T"," 48,878"
"15062","Bowen Island","2024","Estimate","T","  4,684"
"15065","Lions Bay","2024","Estimate","T","  1,463"
"15070","Pitt Meadows","2024","Estimate","T"," 21,402"
"15075","Maple Ridge","2024","Estimate","T","106,489"
"15999","Unincorporated Areas - Metro Vancouver","2024","Estimate","T"," 35,134"
"17005","North Saanich","2024","Estimate","T"," 13,349"
"17010","Sidney","2024","Estimate","T"," 13,289"
"17015","Central Saanich","2024","Estimate","T"," 18,135"
"17021","Saanich","2024","Estimate","T","125,444"
"17030","Oak Bay","2024","Estimate","T"," 18,803"
"17034","Victoria","2024","Estimate","T","102,860"
"17040","Esquimalt","2024","Estimate","T"," 19,297"
"17041","Colwood","2024","Estimate","T"," 22,151"
"17042","Metchosin","2024","Estimate","T","  5,332"
"17044","Langford","2024","Estimate","T"," 58,309"
"17047","View Royal","2024","Estimate","T"," 12,616"
"17049","Highlands","2024","Estimate","T","  2,630"
"17052","Sooke","2024","Estimate","T"," 17,128"
"17999","Unincorporated Areas - Capital","2024","Estimate","T"," 30,974"
"19008","North Cowichan","2024","Estimate","T"," 34,503"
"19012","Duncan","2024","Estimate","T","  5,669"
"19016","Lake Cowichan","2024","Estimate","T","  3,718"
"19021","Ladysmith","2024","Estimate","T","  9,895"
"19999","Unincorporated Areas - Cowichan Valley","2024","Estimate","T"," 41,479"
"21007","Nanaimo","2024","Estimate","T","110,700"
"21008","Lantzville","2024","Estimate","T","  4,214"
"21018","Parksville","2024","Estimate","T"," 14,987"
"21023","Qualicum Beach","2024","Estimate","T","  9,360"
"21999","Unincorporated Areas - Nanaimo","2024","Estimate","T"," 46,860"
"23008","Port Alberni","2024","Estimate","T"," 19,685"
"23019","Ucluelet","2024","Estimate","T","  2,423"
"23025","Tofino","2024","Estimate","T","  2,766"
"23999","Unincorporated Areas - Alberni-Clayoquot","2024","Estimate","T"," 11,348"
"24025","Gold River","2024","Estimate","T","  1,313"
"24029","Zeballos","2024","Estimate","T","    134"
"24030","Tahsis","2024","Estimate","T","    383"
"24034","Campbell River","2024","Estimate","T"," 38,032"
"24039","Sayward","2024","Estimate","T","    366"
"24999","Unincorporated Areas - Strathcona","2024","Estimate","T"," 11,237"
"26005","Comox","2024","Estimate","T"," 15,969"
"26010","Courtenay","2024","Estimate","T"," 32,058"
"26014","Cumberland","2024","Estimate","T","  4,952"
"26999","Unincorporated Areas - Comox Valley","2024","Estimate","T"," 26,297"
"27008","Powell River","2024","Estimate","T"," 14,930"
"27806","shíshálh Nation Gov Dist (Part-qathet)","2024","Estimate","T","     22"
"27999","Unincorporated Areas - qathet","2024","Estimate","T","  8,104"
"29005","Gibsons","2024","Estimate","T","  5,098"
"29011","Sechelt District Municipality","2024","Estimate","T"," 11,500"
"29803","shíshálh Nation Gov Dist (Part-Sunshine Coast)","2024","Estimate","T","    800"
"29999","Unincorporated Areas - Sunshine Coast","2024","Estimate","T"," 16,810"
"31006","Squamish","2024","Estimate","T"," 28,049"
"31012","Pemberton","2024","Estimate","T","  3,568"
"31020","Whistler","2024","Estimate","T"," 15,620"
"31026","Lillooet","2024","Estimate","T","  2,147"
"31999","Unincorporated Areas - Squamish-Lillooet","2024","Estimate","T","  7,049"
"33006","Merritt","2024","Estimate","T","  7,275"
"33015","Lytton","2024","Estimate","T","    234"
"33019","Ashcroft","2024","Estimate","T","  1,732"
"33024","Cache Creek","2024","Estimate","T","  1,063"
"33028","Clinton","2024","Estimate","T","    654"
"33035","Logan Lake","2024","Estimate","T","  2,320"
"33042","Kamloops","2024","Estimate","T","109,628"
"33045","Sun Peaks Mountain","2024","Estimate","T","  1,556"
"33054","Chase","2024","Estimate","T","  2,617"
"33067","Clearwater","2024","Estimate","T","  2,493"
"33074","Barriere","2024","Estimate","T","  1,932"
"33999","Unincorporated Areas - Thompson-Nicola","2024","Estimate","T"," 27,372"
"35010","Kelowna","2024","Estimate","T","165,210"
"35016","Lake Country","2024","Estimate","T"," 17,499"
"35018","Peachland","2024","Estimate","T","  6,197"
"35029","West Kelowna","2024","Estimate","T"," 40,094"
"35999","Unincorporated Areas - Central Okanagan","2024","Estimate","T"," 22,723"
"37005","Lumby","2024","Estimate","T","  2,251"
"37010","Coldstream","2024","Estimate","T"," 11,548"
"37014","Vernon","2024","Estimate","T"," 49,167"
"37024","Spallumcheen","2024","Estimate","T","  5,786"
"37028","Armstrong","2024","Estimate","T","  5,778"
"37033","Enderby","2024","Estimate","T","  3,267"
"37999","Unincorporated Areas - North Okanagan","2024","Estimate","T"," 22,003"
"39007","Golden","2024","Estimate","T","  4,408"
"39019","Revelstoke","2024","Estimate","T","  9,181"
"39032","Salmon Arm","2024","Estimate","T"," 20,615"
"39045","Sicamous","2024","Estimate","T","  2,836"
"39999","Unincorporated Areas - Columbia Shuswap","2024","Estimate","T"," 25,361"
"41005","100 Mile House","2024","Estimate","T","  2,013"
"41009","Williams Lake","2024","Estimate","T"," 11,382"
"41013","Quesnel","2024","Estimate","T"," 10,238"
"41025","Wells","2024","Estimate","T","    226"
"41999","Unincorporated Areas - Cariboo","2024","Estimate","T"," 42,942"
"43008","Alert Bay","2024","Estimate","T","    502"
"43012","Port McNeill","2024","Estimate","T","  2,383"
"43017","Port Alice","2024","Estimate","T","    810"
"43023","Port Hardy","2024","Estimate","T","  4,150"
"43999","Unincorporated Areas - Mount Waddington","2024","Estimate","T","  3,566"
"45999","Unincorporated Areas - Central Coast","2024","Estimate","T","  4,022"
"47007","Port Edward","2024","Estimate","T","    447"
"47012","Prince Rupert","2024","Estimate","T"," 12,925"
"47023","Masset","2024","Estimate","T","    919"
"47026","Daajing Giids","2024","Estimate","T","    979"
"47030","Port Clements","2024","Estimate","T","    358"
"47999","Unincorporated Areas - North Coast","2024","Estimate","T","  3,446"
"49005","Kitimat","2024","Estimate","T","  9,169"
"49011","Terrace","2024","Estimate","T"," 13,251"
"49022","Hazelton","2024","Estimate","T","    317"
"49024","New Hazelton","2024","Estimate","T","    664"
"49032","Stewart","2024","Estimate","T","    527"
"49999","Unincorporated Areas - Kitimat-Stikine","2024","Estimate","T"," 17,510"
"51007","Vanderhoof","2024","Estimate","T","  4,555"
"51009","Fraser Lake","2024","Estimate","T","  1,018"
"51013","Fort St. James","2024","Estimate","T","  1,279"
"51022","Burns Lake","2024","Estimate","T","  2,011"
"51032","Granisle","2024","Estimate","T","    326"
"51034","Houston","2024","Estimate","T","  3,180"
"51038","Telkwa","2024","Estimate","T","  1,546"
"51043","Smithers","2024","Estimate","T","  5,653"
"51999","Unincorporated Areas - Bulkley-Nechako","2024","Estimate","T"," 19,849"
"53007","Valemount","2024","Estimate","T","  1,104"
"53012","McBride","2024","Estimate","T","    646"
"53023","Prince George","2024","Estimate","T"," 84,907"
"53033","Mackenzie","2024","Estimate","T","  3,347"
"53999","Unincorporated Areas - Fraser-Fort George","2024","Estimate","T"," 16,244"
"55003","Tumbler Ridge","2024","Estimate","T","  2,716"
"55005","Pouce Coupe","2024","Estimate","T","    821"
"55010","Chetwynd","2024","Estimate","T","  2,511"
"55014","Dawson Creek","2024","Estimate","T"," 12,775"
"55025","Hudson's Hope","2024","Estimate","T","  1,022"
"55030","Taylor","2024","Estimate","T","  1,440"
"55034","Fort St. John","2024","Estimate","T"," 24,286"
"55999","Unincorporated Areas - Peace River","2024","Estimate","T"," 21,803"
"57999","Unincorporated Areas - Stikine (Census Division)","2024","Estimate","T","    752"
"59007","Northern Rockies Regional Municipality","2024","Estimate","T","  4,086"
"59999","Unincorporated Areas - Northern Rockies (Census Division)","2024","Estimate","T","    555"
